id;№ аудитории;Кол-во посадочных мест;Площадь;Назначение;Фактическое использование;Кафедра;Институт;
;;;;;;;;
;;;;;;;;
id;№ аудитории;Кол-во посадочных мест;Площадь;Назначение;Фактическое использование;Кафедра;Институт;
;6300;;88;аудитория;Помещение кафедры «Связи с общественностью, маркетинга и коммуникаций»;СОМиК;ИНЭУ;
;6301;;32,5;лаборатория;Помещение кафедры СОМиК;СОМиК;ИНЭУ;
;6302;54;55,8;аудитория;Мультимедийная аудитория ИНЭУ;Учебный совет;УМУ;
;6303;;33,5;препараторская;Помещение кафедры СОМиК;СОМиК;ИНЭУ;
;6304;50;56,5;аудитория;Мультимедийная аудитория ИНЭУ;Учебный совет;УМУ;
;6305;44;50,6;аудитория;Общепоточная учебная аудитория;Учебный совет;УМУ;
;6306;50;56,8;аудитория;Общепоточная учебная аудитория;Учебный совет;УМУ;
;6307;44;50,3;аудитория;Общепоточная учебная аудитория;Учебный совет;УМУ;
;6308;36;55,7;аудитория;Общепоточная учебная аудитория;Учебный совет;УМУ;
;6309;16;16,6;аудитория;Общепоточная учебная аудитория;Учебный совет;УМУ;
;6310;38;55,4;аудитория;Общепоточная учебная аудитория;Учебный совет;УМУ;
;6311;40;53,2;аудитория;Общепоточная учебная аудитория;Учебный совет;УМУ;
;6312;38;55,8;аудитория;Общепоточная учебная аудитория;Учебный совет;УМУ;
;6313;38;37,6;аудитория;Общепоточная учебная аудитория;Учебный совет;УМУ;
;6314;80;75,4;аудитория;Общепоточная учебная аудитория;Учебный совет;УМУ;
;6315;;31;комната;Помещение профкома студентов;Профком студентов НГТУ😎;Профком студентов НГТУ;
;6316;;;;;;;
;6317;18;16,8;аудитория;Общепоточная учебная аудитория;Учебный совет;УМУ;
;6318;;;;;;;
;6319;;16,5;комната;Интернет-сервер ИВЦ;ИВЦ НГТУ;Управление информатизации;
;6320;70;73,6;аудитория;Общепоточная учебная аудитория;Учебный совет;УМУ;
;6321;28;33,5;аудитория;Общепоточная учебная аудитория;Учебный совет;УМУ;
;6322;48;50,3;аудитория;Общепоточная учебная аудитория;Учебный совет;УМУ;
;6323;18;16,4;аудитория;Общепоточная учебная аудитория;Учебный совет;УМУ;
;6324;12;20,6;аудитория;Общепоточная учебная аудитория;Учебный совет;УМУ;
;6325;84;85;аудитория;Общепоточная учебная аудитория;Учебный совет;УМУ;
;6326;56;68,3;аудитория;Общепоточная учебная аудитория;Учебный совет;УМУ;
;6327;104;85;аудитория;Общепоточная учебная аудитория;Учебный совет;УМУ;
;6328;;;;;;;
;6329;;;;;;;
;6330;;;;;;;
;6331;64;88,5;аудитория;Общепоточная учебная аудитория;Учебный совет;УМУ;
;6332;20;18,7;аудитория;Общепоточная учебная аудитория;Учебный совет;УМУ;
;6333;26;32;аудитория;Общепоточная учебная аудитория;Учебный совет;УМУ;
;6334;64;94,2;аудитория;Общепоточная учебная аудитория;Учебный совет;УМУ;
;6335;26;32,6;аудитория;Общепоточная учебная аудитория;Учебный совет;УМУ;
;6336;64;99,6;аудитория;Общепоточная учебная аудитория;Учебный совет;УМУ;
;6337;;20,9;кабинет;Кабинет начальника управления информатизации;ИВЦ НГТУ;Управление информатизации;
